assetId,category,family,aspectRatio,prompt,negativePrompt,referenceImages,pasteReady,notes
pickpocket,character,rookery,3:4,"Bust-to-waist, three-quarter portrait of a nimble young pickpocket in worn oxblood-leather-trimmed clothes, already half-turned to leave, a pocket watch just visible pinched between two fingers behind her back. Faint, satisfied smile. Warm gaslight-amber key light, oxblood-leather tones dominant in wardrobe, cool ambient fill. Confident inked contours softened under paint, faint paper-grain texture. Background a soft blur of a crowded market street.","no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2",art/reference/The_Wheatstone_Bridge_taproom.jpeg; public/art/portrait-dodgy-reg-farrow.webp,"Bust-to-waist, three-quarter portrait of a nimble young pickpocket in worn oxblood-leather-trimmed clothes, already half-turned to leave, a pocket watch just visible pinched between two fingers behind her back. Faint, satisfied smile. Warm gaslight-amber key light, oxblood-leather tones dominant in wardrobe, cool ambient fill. Confident inked contours softened under paint, faint paper-grain texture. Background a soft blur of a crowded market street.

no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2

Aspect ratio 3:4.","""You'll notice the watch is gone about the time she's gone too."""
forger,character,rookery,3:4,"Bust-to-waist portrait of a precise, ink-stained forger at a lamplit desk, pen poised mid-stroke over a document, faintly offended expression as if the comparison to the original signature is beneath him. Warm gaslight-amber key light, oxblood-leather desk tones, cool ambient fill. Confident inked contours softened under paint, faint paper-grain texture. Background a soft blur of stacked ledgers.","no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2",art/reference/The_Wheatstone_Bridge_taproom.jpeg; public/art/portrait-dodgy-reg-farrow.webp,"Bust-to-waist portrait of a precise, ink-stained forger at a lamplit desk, pen poised mid-stroke over a document, faintly offended expression as if the comparison to the original signature is beneath him. Warm gaslight-amber key light, oxblood-leather desk tones, cool ambient fill. Confident inked contours softened under paint, faint paper-grain texture. Background a soft blur of stacked ledgers.

no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2

Aspect ratio 3:4.","""His signatures are better than the originals. He finds that insulting."""
cracksman,character,rookery,3:4,"Bust-to-waist, three-quarter portrait of a broad, deliberate safe-cracker kneeling beside a heavy iron safe, ear near the dial, one hand resting still on the handle, an expression of total unhurried patience. Warm gaslight-amber key light, oxblood-leather tones in his coat, cool ambient shadow fill. Confident inked contours softened under paint, faint paper-grain texture. Background a soft blur of a cellar strongroom.","no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2",art/reference/The_Wheatstone_Bridge_taproom.jpeg; public/art/portrait-dodgy-reg-farrow.webp,"Bust-to-waist, three-quarter portrait of a broad, deliberate safe-cracker kneeling beside a heavy iron safe, ear near the dial, one hand resting still on the handle, an expression of total unhurried patience. Warm gaslight-amber key light, oxblood-leather tones in his coat, cool ambient shadow fill. Confident inked contours softened under paint, faint paper-grain texture. Background a soft blur of a cellar strongroom.

no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2

Aspect ratio 3:4.","""Every safe has a weak hinge. He's very patient about finding it."""
fences-runner,character,rookery,3:4,"Bust-to-waist portrait of a quick, unremarkable-looking young runner clutching a plain wrapped parcel to his chest, already mid-stride, eyes forward and unbothered. Warm gaslight-amber key light, oxblood-leather accents, cool ambient fill. Confident inked contours softened under paint, faint paper-grain texture. Background a soft blur of a narrow backstreet.","no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2",art/reference/The_Wheatstone_Bridge_taproom.jpeg; public/art/portrait-dodgy-reg-farrow.webp,"Bust-to-waist portrait of a quick, unremarkable-looking young runner clutching a plain wrapped parcel to his chest, already mid-stride, eyes forward and unbothered. Warm gaslight-amber key light, oxblood-leather accents, cool ambient fill. Confident inked contours softened under paint, faint paper-grain texture. Background a soft blur of a narrow backstreet.

no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2

Aspect ratio 3:4.","""Carries the parcel three streets before anyone thinks to ask what's in it."""
the-lookout,character,rookery,3:4,"Bust-to-waist, three-quarter portrait of a sharp-eyed lookout pressed into a doorway shadow, two fingers at her lips mid-whistle, eyes fixed on something down the street. Warm gaslight-amber key light catching one side of her face, oxblood-leather tones, cool ambient shadow dominant. Confident inked contours softened under paint, faint paper-grain texture. Background a soft blur of a foggy corner.","no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2",art/reference/The_Wheatstone_Bridge_taproom.jpeg; public/art/portrait-dodgy-reg-farrow.webp,"Bust-to-waist, three-quarter portrait of a sharp-eyed lookout pressed into a doorway shadow, two fingers at her lips mid-whistle, eyes fixed on something down the street. Warm gaslight-amber key light catching one side of her face, oxblood-leather tones, cool ambient shadow dominant. Confident inked contours softened under paint, faint paper-grain texture. Background a soft blur of a foggy corner.

no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2

Aspect ratio 3:4.","""Whistles once for the beat copper, twice for the more interesting kind of trouble."""
emily,character,rookery,3:4,"Close bust portrait of a tiny long-haired brown tabby cat, alert and mid-theft, one paw already lifted off a saucer, ears pricked toward an unseen sound, caught candid rather than posed. Warm gaslight-amber rim light, oxblood-leather-toned shadow behind her. Confident inked contours softened under paint, faint paper-grain texture.","no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2, no cute/cartoon cat style",art/reference/The_Wheatstone_Bridge_taproom.jpeg; public/art/portrait-dodgy-reg-farrow.webp,"Close bust portrait of a tiny long-haired brown tabby cat, alert and mid-theft, one paw already lifted off a saucer, ears pricked toward an unseen sound, caught candid rather than posed. Warm gaslight-amber rim light, oxblood-leather-toned shadow behind her. Confident inked contours softened under paint, faint paper-grain texture.

no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2, no cute/cartoon cat style

Aspect ratio 3:4.","design.md §8.2, the Rookery's pub cat. Style-bible.md §6: 'tiny long-haired brown tabby, alert, caught mid-theft.' ""Small, brown, and gone before the treat tin closes."""
skeleton-key,gadget,rookery,3:4,"Object study of a worn brass skeleton key resting on a scarred wooden windowsill beside a half-open shutter, shallow depth of field, no hands in frame. Fine file-marks and old brass patina visible on the bit. Warm gaslight-amber key light, oxblood-leather-toned shadow, cool ambient fill. Confident inked contours softened under paint, faint paper-grain texture.","no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2",art/reference/The_Wheatstone_Bridge_taproom.jpeg,"Object study of a worn brass skeleton key resting on a scarred wooden windowsill beside a half-open shutter, shallow depth of field, no hands in frame. Fine file-marks and old brass patina visible on the bit. Warm gaslight-amber key light, oxblood-leather-toned shadow, cool ambient fill. Confident inked contours softened under paint, faint paper-grain texture.

no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2

Aspect ratio 3:4.","""Fits every lock in Whitechapel and no lock it was cut for."""
regs-ledger,scheme,rookery,3:4,"A small vignette: an open pawnshop ledger on a counter, one entry crossed out and rewritten in a different hand, a loupe resting on the open page. Symbolic rather than literal. Warm gaslight-amber key light, oxblood-leather counter tones, cool ambient shadow. Confident inked contours softened under paint, faint paper-grain texture.","no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2",art/reference/The_Wheatstone_Bridge_taproom.jpeg,"A small vignette: an open pawnshop ledger on a counter, one entry crossed out and rewritten in a different hand, a loupe resting on the open page. Symbolic rather than literal. Warm gaslight-amber key light, oxblood-leather counter tones, cool ambient shadow. Confident inked contours softened under paint, faint paper-grain texture.

no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2

Aspect ratio 3:4.","""Dodgy"" Reg Farrow's reward card (design.md §9.1). ""Everything on this page is legitimate. Mostly."""
cat-burglar-strikes-again,headline,rookery,3:4,"Printed Victorian newspaper front page styled as a symmetrical masthead composition: a bold central woodcut-style motif of a cat's paw print over a broken window latch, engraved-linework aesthetic as if printed rather than painted, oxblood-leather accents in the border rule lines. Faint paper-grain and foxing texture.","no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2, no realistic photographic scene, no painted figures — a printed graphic object, not an illustrated scene",art/reference/The_Wheatstone_Bridge_taproom.jpeg,"Printed Victorian newspaper front page styled as a symmetrical masthead composition: a bold central woodcut-style motif of a cat's paw print over a broken window latch, engraved-linework aesthetic as if printed rather than painted, oxblood-leather accents in the border rule lines. Faint paper-grain and foxing texture.

no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2, no realistic photographic scene, no painted figures — a printed graphic object, not an illustrated scene

Aspect ratio 3:4.","""Nothing taken but a sardine. Constabulary baffled."""
apprentice-fitter,character,foundry,3:4,"Bust-to-waist portrait of a young Foundry apprentice, sleeves rolled, a spanner held slightly the wrong way round, soot-smudged cheek, earnest concentrating expression. Warm brass-and-copper key light, cool ambient fill. Confident inked contours softened under paint, faint paper-grain texture. Background a soft blur of workshop machinery.","no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2",art/reference/The_Wheatstone_Bridge_taproom.jpeg; public/art/portrait-ada-lovelace.webp,"Bust-to-waist portrait of a young Foundry apprentice, sleeves rolled, a spanner held slightly the wrong way round, soot-smudged cheek, earnest concentrating expression. Warm brass-and-copper key light, cool ambient fill. Confident inked contours softened under paint, faint paper-grain texture. Background a soft blur of workshop machinery.

no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2

Aspect ratio 3:4.","design.md §8.3, Sir Charles's house deck. ""Still learning which end of the spanner is which."""
