assetId,category,family,aspectRatio,prompt,negativePrompt,referenceImages,pasteReady,notes
portrait-sir-charles-wheatstone,portrait,foundry,1:1,"Painterly digital illustration in a Victorian-engineering steampunk style, matching the palette and lighting of the Wheatstone Bridge taproom and Sir Charles's own established reference portrait. Tighter roster-style crop of the same slender, slightly stooped man in his late sixties: wire-rimmed spectacles, modest side-whiskers, shirtsleeves and a leather bar apron over a waistcoat, a small private almost-smile rather than his usual reserved look, one hand still resting on a glass out of habit. Warm gaslight-amber key light with brass highlights, cool blue-grey ambient fill. Confident inked contours softened under paint, faint paper-grain texture, directional Victorian book-plate lighting. Bust-to-shoulders portrait, background a soft blur of the bar's brass fittings.","no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2",art/reference/The_Wheatstone_Bridge_taproom.jpeg; public/art/portrait-ada-lovelace.webp,"Painterly digital illustration in a Victorian-engineering steampunk style, matching the palette and lighting of the Wheatstone Bridge taproom and Sir Charles's own established reference portrait. Tighter roster-style crop of the same slender, slightly stooped man in his late sixties: wire-rimmed spectacles, modest side-whiskers, shirtsleeves and a leather bar apron over a waistcoat, a small private almost-smile rather than his usual reserved look, one hand still resting on a glass out of habit. Warm gaslight-amber key light with brass highlights, cool blue-grey ambient fill. Confident inked contours softened under paint, faint paper-grain texture, directional Victorian book-plate lighting. Bust-to-shoulders portrait, background a soft blur of the bar's brass fittings.

no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2

Aspect ratio 1:1.","For the pub hub roster (design.md §11.2) — Sir Charles has no roster portraitArtId yet (CLAUDE.md's 2.3 gotcha), only the wider behind-the-bar batch-0 reference. Attach art/reference/Sir_Charles_Wheatstone-behind-the-bar.jpeg by hand as the PRIMARY reference for his likeness — this is the same character, not a new Foundry cast member, so his own reference should lead over the auto-attached Ada Lovelace portrait below."
portrait-agatha-christie,portrait,salon,1:1,"Painterly digital illustration in a Victorian-engineering steampunk style, matching the palette and lighting of the Wheatstone Bridge taproom and Miss Hollis's and Mr Dickens's portraits. Portrait of a composed Victorian woman writer, hair pinned neatly back, a small private smile that gives nothing away, one hand resting on a closed notebook. Warm gaslight key light, cool verdigris-green ambient fill from drawing-room brocade behind her. Confident inked contours softened under paint, faint paper-grain texture, directional gaslight with real cast shadows. Bust-to-shoulders portrait, background a soft blur of a study desk and bookshelf.","no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2, no exact photographic likeness, no caricature exaggeration — recognisable but lightly stylised",art/reference/The_Wheatstone_Bridge_taproom.jpeg; public/art/portrait-miss-prudence-hollis.webp,"Painterly digital illustration in a Victorian-engineering steampunk style, matching the palette and lighting of the Wheatstone Bridge taproom and Miss Hollis's and Mr Dickens's portraits. Portrait of a composed Victorian woman writer, hair pinned neatly back, a small private smile that gives nothing away, one hand resting on a closed notebook. Warm gaslight key light, cool verdigris-green ambient fill from drawing-room brocade behind her. Confident inked contours softened under paint, faint paper-grain texture, directional gaslight with real cast shadows. Bust-to-shoulders portrait, background a soft blur of a study desk and bookshelf.

no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2, no exact photographic likeness, no caricature exaggeration — recognisable but lightly stylised

Aspect ratio 1:1.","design.md §9.3, ""The obvious suspect is the deck you built."" Distinct from the 'dame-agatha' card-art id used for her signature legendary card (sheet 4)."
portrait-hercule-poirot,portrait,yard,1:1,"Painterly digital illustration in a Victorian-engineering steampunk style, matching the palette and lighting of the Wheatstone Bridge taproom and the Yard constables' portraits. Portrait of a small, fastidiously dressed Belgian gentleman with an immaculately groomed moustache, chin lifted slightly, hands folded with precise satisfaction as if everything in frame has already been arranged to his standard. Warm gaslight-amber accent light, cool gunmetal-blue dominant in a sharply tailored coat and ambient fill. Confident inked contours softened under paint, faint paper-grain texture, directional gaslight with real cast shadows. Bust-to-shoulders portrait, background a soft blur of a perfectly tidy parlour.","no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2, no exact photographic likeness, no caricature exaggeration — recognisable but lightly stylised",art/reference/The_Wheatstone_Bridge_taproom.jpeg; public/art/portrait-constable-tobias-mudd.webp,"Painterly digital illustration in a Victorian-engineering steampunk style, matching the palette and lighting of the Wheatstone Bridge taproom and the Yard constables' portraits. Portrait of a small, fastidiously dressed Belgian gentleman with an immaculately groomed moustache, chin lifted slightly, hands folded with precise satisfaction as if everything in frame has already been arranged to his standard. Warm gaslight-amber accent light, cool gunmetal-blue dominant in a sharply tailored coat and ambient fill. Confident inked contours softened under paint, faint paper-grain texture, directional gaslight with real cast shadows. Bust-to-shoulders portrait, background a soft blur of a perfectly tidy parlour.

no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2, no exact photographic likeness, no caricature exaggeration — recognisable but lightly stylised

Aspect ratio 1:1.","design.md §9.3, ""The little grey cells, mon ami, have already finished."" ""Fussy about the arrangement of his cards"" reflected here in the tidiness of the background. Distinct from the 'hercule-poirot' card-art id (sheet 4)."
portrait-dr-jekyll-mr-hyde,portrait,salon,1:1,"Painterly digital illustration in a Victorian-engineering steampunk style, matching the palette and lighting of the Wheatstone Bridge taproom and Miss Hollis's portrait. Portrait of a mild, well-dressed Victorian gentleman doctor, calm and pleasant expression, verdigris-green waistcoat — but his cast shadow on the wall behind him falls oxblood-dark and broader than his own frame, hinting at a second shape. Warm gaslight key light on the doctor, the shadow lit only by cool ambient fill. Confident inked contours softened under paint, faint paper-grain texture, directional gaslight with real cast shadows. Bust-to-shoulders portrait, background a soft blur of a study.","no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2, no exact photographic likeness, no caricature exaggeration — recognisable but lightly stylised, no visible second face or body — the shadow implies him only",art/reference/The_Wheatstone_Bridge_taproom.jpeg; public/art/portrait-miss-prudence-hollis.webp,"Painterly digital illustration in a Victorian-engineering steampunk style, matching the palette and lighting of the Wheatstone Bridge taproom and Miss Hollis's portrait. Portrait of a mild, well-dressed Victorian gentleman doctor, calm and pleasant expression, verdigris-green waistcoat — but his cast shadow on the wall behind him falls oxblood-dark and broader than his own frame, hinting at a second shape. Warm gaslight key light on the doctor, the shadow lit only by cool ambient fill. Confident inked contours softened under paint, faint paper-grain texture, directional gaslight with real cast shadows. Bust-to-shoulders portrait, background a soft blur of a study.

no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2, no exact photographic likeness, no caricature exaggeration — recognisable but lightly stylised, no visible second face or body — the shadow implies him only

Aspect ratio 1:1.","design.md §9.3, ""I'm quite well. Round two, ask again."" One roster portrait covering both faces of the Transform opponent — Jekyll's calm foreground plus Hyde's implied shadow — rather than two separate roster assets, since Opponent.portraitArtId (src/pub/opponents.ts) is a single field. Distinct from the 'dr-henry-jekyll'/'mr-edward-hyde' card-art ids (sheet 4)."
portrait-mary-shelley,portrait,foundry,1:1,"Painterly digital illustration in a Victorian-engineering steampunk style, matching the palette and lighting of the Wheatstone Bridge taproom and Ada Lovelace's portrait. Portrait of a thoughtful young Victorian woman writer, dark hair loosely pinned, a faint, private, slightly mischievous smile, seated near workshop brass fittings and a coil of copper wire rather than a writing desk. Warm brass-and-copper key light, cool ambient fill. Confident inked contours softened under paint, faint paper-grain texture, directional gaslight with real cast shadows. Bust-to-shoulders portrait, background a soft blur of workshop brass fittings.","no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2, no exact photographic likeness, no caricature exaggeration — recognisable but lightly stylised",art/reference/The_Wheatstone_Bridge_taproom.jpeg; public/art/portrait-ada-lovelace.webp,"Painterly digital illustration in a Victorian-engineering steampunk style, matching the palette and lighting of the Wheatstone Bridge taproom and Ada Lovelace's portrait. Portrait of a thoughtful young Victorian woman writer, dark hair loosely pinned, a faint, private, slightly mischievous smile, seated near workshop brass fittings and a coil of copper wire rather than a writing desk. Warm brass-and-copper key light, cool ambient fill. Confident inked contours softened under paint, faint paper-grain texture, directional gaslight with real cast shadows. Bust-to-shoulders portrait, background a soft blur of workshop brass fittings.

no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2, no exact photographic likeness, no caricature exaggeration — recognisable but lightly stylised

Aspect ratio 1:1.","design.md §9.3, ""I wrote him at nineteen. What have you made?"" Distinct from the 'mary-shelley' card-art id (sheet 4)."
constable-on-the-beat,character,yard,3:4,"Bust-to-waist, three-quarter portrait of a young Metropolitan Police constable walking his beat: tall custodian helmet worn square, gunmetal-blue wool uniform buttoned to the collar, a whistle chain catching the light, one hand resting on his belt. Steady, unhurried expression — he has all night. Warm gaslight-amber street-lamp key light, cool gunmetal-blue ambient fill favouring the uniform, real cast shadows. Confident inked contours softened under paint, faint paper-grain texture. Background a soft blur of a quiet fog-lit street corner.","no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2",art/reference/The_Wheatstone_Bridge_taproom.jpeg; public/art/portrait-constable-tobias-mudd.webp,"Bust-to-waist, three-quarter portrait of a young Metropolitan Police constable walking his beat: tall custodian helmet worn square, gunmetal-blue wool uniform buttoned to the collar, a whistle chain catching the light, one hand resting on his belt. Steady, unhurried expression — he has all night. Warm gaslight-amber street-lamp key light, cool gunmetal-blue ambient fill favouring the uniform, real cast shadows. Confident inked contours softened under paint, faint paper-grain texture. Background a soft blur of a quiet fog-lit street corner.

no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2

Aspect ratio 3:4.","design.md §8.3 starter deck. ""Whistle, helmet, boots. In that order of importance, he'd tell you."""
night-watchman,character,yard,3:4,"Bust-to-waist portrait of an older night watchman doing his rounds: heavy greatcoat over a gunmetal-blue uniform, a lantern raised at shoulder height, weathered, watchful face lit from below by the lantern's glow. Warm gaslight-amber key light from the lantern, cool blue-grey ambient fill from the fog beyond, real cast shadows. Confident inked contours softened under paint, faint paper-grain texture. Background a soft blur of a row of gaslamps receding into fog.","no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2",art/reference/The_Wheatstone_Bridge_taproom.jpeg; public/art/portrait-constable-tobias-mudd.webp,"Bust-to-waist portrait of an older night watchman doing his rounds: heavy greatcoat over a gunmetal-blue uniform, a lantern raised at shoulder height, weathered, watchful face lit from below by the lantern's glow. Warm gaslight-amber key light from the lantern, cool blue-grey ambient fill from the fog beyond, real cast shadows. Confident inked contours softened under paint, faint paper-grain texture. Background a soft blur of a row of gaslamps receding into fog.

no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2

Aspect ratio 3:4.","""Every lamp on the street knows his round by heart."""
sergeant-pike,character,yard,3:4,"Bust-to-waist, three-quarter portrait of a broad, immovable police sergeant, stripes on his sleeve, standing exactly where he always stands, arms loosely folded, an expression of settled patience that has outlasted several buildings behind him. Warm gaslight-amber accent light, cool gunmetal-blue dominant in the uniform and ambient fill, real cast shadows. Confident inked contours softened under paint, faint paper-grain texture. Background a soft blur of the same street corner, worn smooth by his own boots.","no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2",art/reference/The_Wheatstone_Bridge_taproom.jpeg; public/art/portrait-constable-tobias-mudd.webp,"Bust-to-waist, three-quarter portrait of a broad, immovable police sergeant, stripes on his sleeve, standing exactly where he always stands, arms loosely folded, an expression of settled patience that has outlasted several buildings behind him. Warm gaslight-amber accent light, cool gunmetal-blue dominant in the uniform and ambient fill, real cast shadows. Confident inked contours softened under paint, faint paper-grain texture. Background a soft blur of the same street corner, worn smooth by his own boots.

no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2

Aspect ratio 3:4.","Constable Tobias Mudd's reward card (design.md §9.1). ""He's been on this corner longer than the corner has."""
inspectors-warrant,scheme,yard,3:4,"A small vignette: a folded, wax-sealed warrant document resting on a brass-cornered desk beside an ink pot and a half-lifted quill, the seal's ribbon catching a single shaft of gaslight. Symbolic rather than literal — the paper is the whole scene. Warm gaslight-amber key light, cool gunmetal-blue ambient shadow, real cast shadows. Confident inked contours softened under paint, faint paper-grain texture.","no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2",art/reference/The_Wheatstone_Bridge_taproom.jpeg,"A small vignette: a folded, wax-sealed warrant document resting on a brass-cornered desk beside an ink pot and a half-lifted quill, the seal's ribbon catching a single shaft of gaslight. Symbolic rather than literal — the paper is the whole scene. Warm gaslight-amber key light, cool gunmetal-blue ambient shadow, real cast shadows. Confident inked contours softened under paint, faint paper-grain texture.

no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2

Aspect ratio 3:4.","""Signed, sealed, and extremely inconvenient."""
police-whistle,gadget,yard,3:4,"Object study of a brass police whistle on its chain, coiled on a dark wooden bar top, a thin curl of steam or breath just visible beside it, shallow depth of field, no hands in frame. Brushed-brass highlights, fine engraved maker's scrollwork on the barrel. Warm gaslight-amber key light, cool gunmetal-blue ambient fill, real cast shadow. Confident inked contours softened under paint, faint paper-grain texture.","no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2",art/reference/The_Wheatstone_Bridge_taproom.jpeg,"Object study of a brass police whistle on its chain, coiled on a dark wooden bar top, a thin curl of steam or breath just visible beside it, shallow depth of field, no hands in frame. Brushed-brass highlights, fine engraved maker's scrollwork on the barrel. Warm gaslight-amber key light, cool gunmetal-blue ambient fill, real cast shadow. Confident inked contours softened under paint, faint paper-grain texture.

no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2

Aspect ratio 3:4.","""One blast for trouble. Two for tea."""
